CountryA,CountryB,ExpCap_MW,ImpCap_MW
AUS,BLK,1686,1746
AUS,CZE,900,900
AUS,GER,7500,7500
AUS,ITA,1229,1081
AUS,SWI,1200,1200
BEL,FRA,2800,4300
BEL,NED,2400,3400
BLK,SKO,1800,2600
BLK,ITA,1625,1741
CZE,GER,2600,2000
CZE,SKO,1952,1600
DEN,SWE,2284,1913
FIN,SWE,3200,3200
FRA,ITA,4028,2020
GER,DEN,4241,4227
GER,FRA,4800,5180
GER,NED,5000,5000
POL,CZE,1200,1000
POL,GER,3000,2000
POL,SKO,876,858
SPA,FRA,4528,5100
SPA,POR,4200,3500
SWE,NOR,3995,3695
SWI,FRA,1350,3347
SWI,GER,4300,3800
SWI,ITA,3811,1751
UKI,IRE,1750,1750
BEL,GER,2380,2000
BEL,UKI,1000,1000
BLT,FIN,1016,1016
BLT,POL,700,700
BLT,SWE,700,700
GER,UKI,1400,1400
GER,NOR,1400,1400
GER,SWE,1315,1315
DEN,NOR,1538,1538
DEN,UKI,1319,1319
DEN,NED,660,660
FRA,UKI,5400,5400
FRA,IRE,700,700
NED,UKI,1000,100
NED,NOR,700,700
NOR,UKI,1464,1464
POL,SWE,600,600
